HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
SAHA,Savanna Hawk,Buteogallus meridionalis,BUTMER
GBHA,Great Black Hawk,Buteogallus urubitinga,BUTURU
SOEA,Solitary Eagle,Buteogallus solitarius,BUGSOL,
BAHA,Barred Hawk,Morphnarchus princeps,MORPRI
ROHA,Roadside Hawk,Rupornis magnirostris,RUPMAG
HAHA,Harris's Hawk,Parabuteo unicinctus,PARUNI
WTHA,White-tailed Hawk,Geranoaetus albicaudatus,GERALB
WHHA,White Hawk,Pseudastur albicollis,PSEALB
SEHA,Semiplumbeous Hawk,Leucopternis semiplumbeus,LEUSEL,
GRHA,Gray Hawk,Buteo plagiatus,BUTPLG,
GLHA,Gray-lined Hawk,Buteo nitidus,BUTNIT
RSHA,Red-shouldered Hawk,Buteo lineatus,BUTLIN
RIHA,Ridgway's Hawk,Buteo ridgwayi,BUTRID
BWHA,Broad-winged Hawk,Buteo platypterus,BUTPLT,
PBWH,Puerto Rican Broad-winged Hawk,Buteo platypterus brunnescens,BUTPLB
HAWH,Hawaiian Hawk,Buteo solitarius,BUESOL,
STHA,Short-tailed Hawk,Buteo brachyurus,BUTBRA
SWHA,Swainson's Hawk,Buteo swainsoni,BUTSWA
ZTHA,Zone-tailed Hawk,Buteo albonotatus,BUTALB
RTHA,Red-tailed Hawk,Buteo jamaicensis,BUTJAM
HRLH,Harlan's Hawk,Buteo jamaicensis harlani,BUTJHA
RLHA,Rough-legged Hawk,Buteo lagopus,BUTLAG
FEHA,Ferruginous Hawk,Buteo regalis,BUTREG
LLBU,Long-legged Buzzard,Buteo rufinus,BUTRUF
UNHA,Unidentified Hawk,"Accipitridae (gen, sp)",ACCGSP
ABOW,American Barn Owl,Tyto furcata,TYTFUR
AFOW,Ashy-faced Owl,Tyto glaucops,TYTGLA
ORSO,Oriental Scops-Owl,Otus sunia,OTUSUN
FLOW,Flammulated Owl,Psiloscops flammeolus,PSIFLA
PRIO,Puerto Rican Owl,Gymnasio nudipes,GYSNUD,
WHSO,Whiskered Screech-Owl,Megascops trichopsis,MEGTRI
BSSO,Bare-shanked Screech-Owl,Megascops clarkii,MEGCLA
TRSO,Tropical Screech-Owl,Megascops choliba,MEGCHO
BESO,Bearded Screech-Owl,Megascops barbarus,MEGBAR
PASO,Pacific Screech-Owl,Megascops cooperi,MEGCOO
WESO,Western Screech-Owl,Megascops kennicottii,MEGKEN
EASO,Eastern Screech-Owl,Megascops asio,MEGASI
BASO,Balsas Screech-Owl,Megascops seductus,MEGSED
MASO,Middle American Screech-Owl,Megascops guatemalae,MEGGUA
CHSO,Choco Screech-Owl,Megascops centralis,MEGCEN
BLOW,Bare-legged Owl,Margarobyas lawrencii,MARLAW
CROW,Crested Owl,Lophostrix cristata,LOPCRI
SPEO,Spectacled Owl,Pulsatrix perspicillata,PULPER
GHOW,Great Horned Owl,Bubo virginianus,BUBVIR
SNOW,Snowy Owl,Bubo scandiacus,BUBSCA
NHOW,Northern Hawk Owl,Surnia ulula,SURUL
NOPO,Northern Pygmy-Owl,Glaucidium gnoma,GLAGN
CRPO,Costa Rican Pygmy-Owl,Glaucidium costaricanum,GLACO
CAPO,Central American Pygmy-Owl,Glaucidium griseiceps,GLAGR
TAPO,Tamaulipas Pygmy-Owl,Glaucidium sanchezi,GLASA
CPYO,Colima Pygmy-Owl,Glaucidium palmarum,GLAPA
FEPO,Ferruginous Pygmy-Owl,Glaucidium brasilianum,GLABR
CUPO,Cuban Pygmy-Owl,Glaucidium siju,GLASI
ELOW,Elf Owl,Micrathene whitneyi,MICWH
BUOW,Burrowing Owl,Athene cunicularia,ATHCU
SPOW,Spotted Owl,Strix occidentalis,STROC
CSOW,California Spotted Owl,Strix occidentalis occidentalis,STROC
NSOW,Northern Spotted Owl,Strix occidentalis caurina,STROC
MSOW,Mexican Spotted Owl,Strix occidentalis lucida,STROC
SBOH,Spotted x Barred Owl Hybrid,Strix occidentalis x varia,STROC
BAOW,Barred Owl,Strix varia,STRVA
CIOW,Cinereous Owl,Strix sartorii,STRSA
FUOW,Fulvous Owl,Strix fulvescens,STRFU
MOOW,Mottled Owl,Strix virgata,STRVI
BLWO,Black-and-white Owl,Strix nigrolineata,STRNI
GGOW,Great Gray Owl,Strix nebulosa,STRNE
LEOW,Long-eared Owl,Asio otus,ASIOT
STOW,Stygian Owl,Asio stygius,ASIST
SEOW,Short-eared Owl,Asio flammeus,ASIFL
STRO,Striped Owl,Asio clamator,ASICL
JAOW,Jamaican Owl,Asio grammicus,ASIGR
BOOW,Boreal Owl,Aegolius funereus,AEGFU
NSWO,Northern Saw-whet Owl,Aegolius acadicus,AEGAC
USWO,Unspotted Saw-whet Owl,Aegolius ridgwayi,AEGRI
NOBB,Northern Boobook,Ninox japonica,NINJA
UNOW,Unidentified Owl,"Strigidae (gen, sp)",STRGS
CUTR,Cuban Trogon,Priotelus temnurus,PRITE
HITR,Hispaniolan Trogon,Priotelus roseigaster,PRIROS
LTTR,Lattice-tailed Trogon,Trogon clathratus,TROCLA
STTR,Slaty-tailed Trogon,Trogon massena,TROMAS
BTAT,Black-tailed Trogon,Trogon melanurus,TROMER,
BHTR,Black-headed Trogon,Trogon melanocephalus,TROMEC,
CITR,Citreoline Trogon,Trogon citreolus,TROCIT
WTAT,White-tailed Trogon,Trogon chionurus,TROCHI
BATR,Baird's Trogon,Trogon bairdii,TROBAI
GATR,Gartered Trogon,Trogon caligatus,TROCAL
BTHT,Black-throated Trogon,Trogon rufus,TRORUS,
ELTR,Elegant Trogon,Trogon elegans,TROELE
MOTR,Mountain Trogon,Trogon mexicanus,TROMEX
COTR,Collared Trogon,Trogon collaris,TROCOL
OBTR,Orange-bellied Trogon,Trogon collaris aurantiiventris,TROCAU
EAQU,Eared Quetzal,Euptilotis neoxenus,EUPNEO
GHQU,Golden-headed Quetzal,Pharomachrus auriceps,PHAAUR
REQU,Resplendent Quetzal,Pharomachrus mocinno,PHAMO
EHOO,Eurasian Hoopoe,Upupa epops,UPUEP
CUTO,Cuban Tody,Todus multicolor,TODMU
BBTO,Broad-billed Tody,Todus subulatus,TODSU
NBTO,Narrow-billed Tody,Todus angustirostris,TODAN
JATO,Jamaican Tody,Todus todus,TODTO
PRTO,Puerto Rican Tody,Todus mexicanus,TODME
TOMO,Tody Motmot,Hylomanes momotula,HYLMO
BTMO,Blue-throated Motmot,Aspatha gularis,ASPGU
RCMO,Russet-crowned Motmot,Momotus mexicanus,MOMME
BCMO,Blue-capped Motmot,Momotus coeruliceps,MOMCO
LEMO,Lesson's Motmot,Momotus lessonii,MOMLE
WHMO,Whooping Motmot,Momotus subrufescens,MOMSU
RMOT,Rufous Motmot,Baryphthengus martii,BARMA
KBMO,Keel-billed Motmot,Electron carinatum,ELECA
BBMO,Broad-billed Motmot,Electron platyrhynchum,ELEPL
TBMO,Turquoise-browed Motmot,Eumomota superciliosa,EUMSU
RIKI,Ringed Kingfisher,Megaceryle torquata,MEGTO
BEKI,Belted Kingfisher,Megaceryle alcyon,MEGAL
AMKI,Amazon Kingfisher,Chloroceryle amazona,CHLAM
APKI,American Pygmy Kingfisher,Chloroceryle aenea,CHLAE
GKIN,Green Kingfisher,Chloroceryle americana,CHLAM
GARK,Green-and-rufous Kingfisher,Chloroceryle inda,CHLIN
BAPU,Barred Puffbird,Nystalus radiatus,NYSRA
WNPU,White-necked Puffbird,Notharchus hyperrhynchus,NOTHY
BBPU,Black-breasted Puffbird,Notharchus pectoralis,NOTPE
PIPU,Pied Puffbird,Notharchus tectus,NOTTE
WWPU,White-whiskered Puffbird,Malacoptila panamensis,MALPA
LAMO,Lanceolated Monklet,Micromonacha lanceolata,MICLA
GCNU,Gray-cheeked Nunlet,Nonnula frontalis,NONFR
WFNU,White-fronted Nunbird,Monasa morphoeus,MONMO
DBJA,Dusky-backed Jacamar,Brachygalba salmoni,BRASA
RTJA,Rufous-tailed Jacamar,Galbula ruficauda,GALRUF
GREJ,Great Jacamar,Jacamerops aureus,JACAUR
SCBA,Spot-crowned Barbet,Capito maculicoronatus,CAPMAC
RHBA,Red-headed Barbet,Eubucco bourcierii,EUBBOU
PBBA,Prong-billed Barbet,Semnornis frantzii,SEMFRA
NOET,Northern Emerald-Toucanet,Aulacorhynchus prasinus,AULPRA
COAR,Collared Aracari,Pteroglossus torquatus,PTETOR
FBAR,Fiery-billed Aracari,Pteroglossus frantzii,PTEFRA
YETO,Yellow-eared Toucanet,Selenidera spectabilis,SELSPT,
KBTO,Keel-billed Toucan,Ramphastos sulfuratus,RAMSUL
YTTO,Yellow-throated Toucan,Ramphastos ambiguus,RAMAMB
EUWR,Eurasian Wryneck,Jynx torquilla,JYNTOR
OLPI,Olivaceous Piculet,Picumnus olivaceus,PICOLI
ANPI,Antillean Piculet,Nesoctites micromegas,NESMIC
LEWO,Lewis's Woodpecker,Melanerpes lewis,MELLEW
GUWO,Guadeloupe Woodpecker,Melanerpes herminieri,MELHER
PRWO,Puerto Rican Woodpecker,Melanerpes portoricensis,MENPOR,
RHWO,Red-headed Woodpecker,Melanerpes erythrocephalus,MELERY
ACWO,Acorn Woodpecker,Melanerpes formicivorus,MELFOR
GNWO,Golden-naped Woodpecker,Melanerpes chrysauchen,MELCHC,
BCWO,Black-cheeked Woodpecker,Melanerpes pucherani,MELPUC
HIWO,Hispaniolan Woodpecker,Melanerpes striatus,MELSTR
JAWO,Jamaican Woodpecker,Melanerpes radiolatus,MELRAD
GCHW,Golden-cheeked Woodpecker,Melanerpes chrysogenys,MELCHG,
GBWO,Gray-breasted Woodpecker,Melanerpes hypopolius,MELHYI,
YUWO,Yucatan Woodpecker,Melanerpes pygmaeus,MELPYG
RCRW,Red-crowned Woodpecker,Melanerpes rubricapillus,MELRUB
GIWO,Gila Woodpecker,Melanerpes uropygialis,MELURO
HOWO,Hoffmann's Woodpecker,Melanerpes hoffmannii,MELHOF
GFWO,Golden-fronted Woodpecker,Melanerpes aurifrons,MELAUR
RBWO,Red-bellied Woodpecker,Melanerpes carolinus,MELCAR
WIWO,West Indian Woodpecker,Melanerpes superciliaris,MELSUP
WISA,Williamson's Sapsucker,Sphyrapicus thyroideus,SPHTH
YBSA,Yellow-bellied Sapsucker,Sphyrapicus varius,SPHVA
RNSA,Red-naped Sapsucker,Sphyrapicus nuchalis,SPHNU
RBSA,Red-breasted Sapsucker,Sphyrapicus ruber,SPHRU
HYSA,Hybrid Sapsucker,Sphyrapicus hybrid,SPHHY
UNSA,Unidentified Sapsucker,Sphyrapicus (sp),SPHSP
CGWO,Cuban Green Woodpecker,Xiphidiopicus percussus,XIPPE
ATTW,American Three-toed Woodpecker,Picoides dorsalis,PICDO
BBWO,Black-backed Woodpecker,Picoides arcticus,PICAR
GSWO,Great Spotted Woodpecker,Dendrocopos major,DENMA
DOWO,Downy Woodpecker,Dryobates pubescens,DRYPU
NUWO,Nuttall's Woodpecker,Dryobates nuttallii,DRYNU
LBWO,Ladder-backed Woodpecker,Dryobates scalaris,DRYSC
RCWO,Red-cockaded Woodpecker,Dryobates borealis,DRYBO
HAWO,Hairy Woodpecker,Dryobates villosus,DRYVI
WHWO,White-headed Woodpecker,Dryobates albolarvatus,DRYAL
SMBW,Smoky-brown Woodpecker,Dryobates fumigatus,DRYFUM
ARWO,Arizona Woodpecker,Dryobates arizonae,DRYARI
STCW,Strickland's Woodpecker,Dryobates stricklandi,DRYSTR
RRWO,Red-rumped Woodpecker,Dryobates kirkii,DRYKIR
RWWO,Rufous-winged Woodpecker,Piculus simplex,PICSIM
SCHW,Stripe-cheeked Woodpecker,Piculus callopterus,PICCAL
GGWO,Golden-green Woodpecker,Piculus chrysochloros,PICCHR
GOWO,Golden-olive Woodpecker,Colaptes rubiginosus,COLRUB
GRCW,Gray-crowned Woodpecker,Colaptes auricularis,COLAUC,
SBWP,Spot-breasted Woodpecker,Colaptes punctigula,COLPUN
NOFL,Northern Flicker,Colaptes auratus,COLAUT,
GUFL,Guatemalan Flicker,Colaptes mexicanoides,COLMEX,
YSFL,Yellow-shafted Flicker,Colaptes auratus auratus,COLAAU
FLIN,Flicker Intergrade,Colaptes auratus auratus x cafer,COLAAC
RSFL,Red-shafted Flicker,Colaptes auratus cafer,COLACA
GIFL,Gilded Flicker,Colaptes chrysoides,COLCHR
FEFL,Fernandina's Flicker,Colaptes fernandinae,COLFE
CIWO,Cinnamon Woodpecker,Celeus loricatus,CELLO
CCOW,Chestnut-colored Woodpecker,Celeus castaneus,CELCA
LIWO,Lineated Woodpecker,Dryocopus lineatus,DRYLI
PIWO,Pileated Woodpecker,Dryocopus pileatus,DRYPI
CBWO,Crimson-bellied Woodpecker,Campephilus haematogaster,CAMHA
CCRW,Crimson-crested Woodpecker,Campephilus melanoleucos,CAMME
PBIW,Pale-billed Woodpecker,Campephilus guatemalensis,CAMGU
IBWO,Ivory-billed Woodpecker,Campephilus principalis,CAMPR
IMWO,Imperial Woodpecker,Campephilus imperialis,CAMIM
UNWO,Unidentified Woodpecker,"Picinae (gen, sp)",PICGS
LAFA,Laughing Falcon,Herpetotheres cachinnans,HERCA
BAFF,Barred Forest-Falcon,Micrastur ruficollis,MICRU
SBFF,Slaty-backed Forest-Falcon,Micrastur mirandollei,MICMI
COFF,Collared Forest-Falcon,Micrastur semitorquatus,MICSE
RTCA,Red-throated Caracara,Ibycter americanus,IBYAM
CRCA,Crested Caracara,Caracara plancus,CARPLA
ACCA,Audubon's Crested Caracara,Caracara plancus audubonii,CARPLU,
GUCA,Guadalupe Caracara,Caracara lutosa,CARLUT
YHCA,Yellow-headed Caracara,Milvago chimachima,MILCHI
EUKE,Eurasian Kestrel,Falco tinnunculus,FALTIN
AMKE,American Kestrel,Falco sparverius,FALSPA
RFFA,Red-footed Falcon,Falco vespertinus,FALVES
MERL,Merlin,Falco columbarius,FALCOL
EHOB,Eurasian Hobby,Falco subbuteo,FALSUB
APFA,Aplomado Falcon,Falco femoralis,FALFEM
BAFA,Bat Falcon,Falco rufigularis,FALRUF
OBFA,Orange-breasted Falcon,Falco deiroleucus,FALDEI
GYRF,Gyrfalcon,Falco rusticolus,FALRUS
PEFA,Peregrine Falcon,Falco peregrinus,FALPER
PRFA,Prairie Falcon,Falco mexicanus,FALMEX
PAIP,Painted Parakeet,Pyrrhura picta,PYRPIC
SWPA,Sulphur-winged Parakeet,Pyrrhura hoffmanni,PYRHOF
MOPA,Monk Parakeet,Myiopsitta monachus,MYIMON
CAPA,Carolina Parakeet,Conuropsis carolinensis,CONCAL,
OTPA,Olive-throated Parakeet,Eupsittula nana,EUPNAN
OFPA,Orange-fronted Parakeet,Eupsittula canicularis,EUPCAN
BTPA,Brown-throated Parakeet,Eupsittula pertinax,EUPPER
NAPA,Nanday Parakeet,Aratinga nenday,ARANEN
BAYM,Blue-and-yellow Macaw,Ara ararauna,ARAARA
CFMA,Chestnut-fronted Macaw,Ara severus,ARASEV
CUBM,Cuban Macaw,Ara tricolor,ARATRI
SCMA,Scarlet Macaw,Ara macao,ARAMAC
RAGM,Red-and-green Macaw,Ara chloropterus,ARACHL
MIMA,Military Macaw,Ara militaris,ARAMIL
GGMA,Great Green Macaw,Ara ambiguus,ARAAMB
GREP,Green Parakeet,Psittacara holochlorus,PSIHOL
SOPA,Socorro Parakeet,Psittacara brevipes,PSIBRE
PACP,Pacific Parakeet,Psittacara strenuus,PSIST
MIPA,Mitred Parakeet,Psittacara mitratus,PSIMI
RMPA,Red-masked Parakeet,Psittacara erythrogenys,PSIER
CFPA,Crimson-fronted Parakeet,Psittacara finschi,PSIFI
CPAK,Cuban Parakeet,Psittacara euops,PSIEU
PRPK,Puerto Rican Parakeet,Psittacara maugei,PSIMA
HPAK,Hispaniolan Parakeet,Psittacara chloropterus,PSICH
TBPA,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,RHYPA
MFPA,Maroon-fronted Parrot,Rhynchopsitta terrisi,RHYTE
BAPA,Barred Parakeet,Bolborhynchus lineola,BOLLI
MEXP,Mexican Parrotlet,Forpus cyanopygius,FORCY
GRUP,Green-rumped Parrotlet,Forpus passerinus,FORPA
SPPA,Spectacled Parrotlet,Forpus conspicillatus,FORCO
OCPA,Orange-chinned Parakeet,Brotogeris jugularis,BROJU
WWPA,White-winged Parakeet,Brotogeris versicolurus,BROVE
YCPA,Yellow-chevroned Parakeet,Brotogeris chiriri,BROCH
RFPA,Red-fronted Parrotlet,Touit costaricensis,TOUCOS
BFPA,Blue-fronted Parrotlet,Touit dilectissimus,TOUDIL
BHOP,Brown-hooded Parrot,Pyrilia haematotis,PYRHAE
SHPA,Saffron-headed Parrot,Pyrilia pyrilia,PYRPYI,
BHEP,Blue-headed Parrot,Pionus menstruus,PIOMEN
WCPA,White-crowned Parrot,Pionus senilis,PIOSEN
WFPA,White-fronted Parrot,Amazona albifrons,AMAALB
YLPA,Yellow-lored Parrot,Amazona xantholora,AMAXAN
CPAT,Cuban Parrot,Amazona leucocephala,AMALEU
YBPA,Yellow-billed Parrot,Amazona collaria,AMACOL
HPAT,Hispaniolan Parrot,Amazona ventralis,AMAVEN
PRPO,Puerto Rican Parrot,Amazona vittata,AMAVIT
BBPA,Black-billed Parrot,Amazona agilis,AMAAGI
RCPA,Red-crowned Parrot,Amazona viridigenalis,AMAVIR
LCPA,Lilac-crowned Parrot,Amazona finschi,AMAFIN
RLPA,Red-lored Parrot,Amazona autumnalis,AMAAUT
MEAP,Mealy Parrot,Amazona farinosa,AMAFA
YHPA,Yellow-headed Parrot,Amazona oratrix,AMAOR
YNPA,Yellow-naped Parrot,Amazona auropalliata,AMAAU
YCRP,Yellow-crowned Parrot,Amazona ochrocephala,AMAOC
RNPA,Red-necked Parrot,Amazona arausiaca,AMAAR
SLPA,St. Lucia Parrot,Amazona versicolor,AMAVE
SVPA,St. Vincent Parrot,Amazona guildingii,AMAGU
IMPA,Imperial Parrot,Amazona imperialis,AMAIM
RRPA,Rose-ringed Parakeet,Psittacula krameri,PSIKR
RFLO,Rosy-faced Lovebird,Agapornis roseicollis,AGARO
SAPA,Sapayoa,Sapayoa aenigma,SAPAE
LATM,Lance-tailed Manakin,Chiroxiphia lanceolata,CHILA
LOTM,Long-tailed Manakin,Chiroxiphia linearis,CHILI
WRMA,White-ruffed Manakin,Corapipo altera,CORAL
GMAK,Green Manakin,Cryptopipo holochlora,CRYHO
VELM,Velvety Manakin,Lepidothrix velutina,LEPVE
WCOM,White-collared Manakin,Manacus candei,MANCA
OCMA,Orange-collared Manakin,Manacus aurantiacus,MANAU
GCMA,Golden-collared Manakin,Manacus vitellinus,MANVI
WCRM,White-crowned Manakin,Pseudopipra pipra,PSEPI
RCMA,Red-capped Manakin,Ceratopipra mentalis,CERME
GHMA,Golden-headed Manakin,Ceratopipra erythrocephala,CERER
PTFR,Purple-throated Fruitcrow,Querula purpurata,QUEPU
BNUM,Bare-necked Umbrellabird,Cephalopterus glabricollis,CEPGL
LOCO,Lovely Cotinga,Cotinga amabilis,COTAM
TUCO,Turquoise Cotinga,Cotinga ridgwayi,COTRI
BLCO,Blue Cotinga,Cotinga nattererii,COTNA
RUFP,Rufous Piha,Lipaugus unirufus,LIPUN
TWBE,Three-wattled Bellbird,Procnias tricarunculatus,PROTR
BTCO,Black-tipped Cotinga,Carpodectes hopkei,CARHO
YBCO,Yellow-billed Cotinga,Carpodectes antoniae,CARAN
SNCO,Snowy Cotinga,Carpodectes nitidus,CARNI
NOSC,Northern Schiffornis,Schiffornis veraepacis,SCHVE
RWSC,Russet-winged Schiffornis,Schiffornis stenorhyncha,SCHST
SPMO,Speckled Mourner,Laniocera rufescens,LANRU
MATI,Masked Tityra,Tityra semifasciata,TITSE
BCRT,Black-crowned Tityra,Tityra inquisitor,TITIN
BABE,Barred Becard,Pachyramphus versicolor,PACVE
CIRB,Cinereous Becard,Pachyramphus rufus,PACRU
CIMB,Cinnamon Becard,Pachyramphus cinnamomeus,PACCI
WWBE,White-winged Becard,Pachyramphus polychopterus,PACPO
BAWB,Black-and-white Becard,Pachyramphus albogriseus,PACAL
GCBE,Gray-collared Becard,Pachyramphus major,PACMA
RTBE,Rose-throated Becard,Pachyramphus aglaiae,PACAG
OCBE,One-colored Becard,Pachyramphus homochrous,PACHO
JABE,Jamaican Becard,Pachyramphus niger,PACNI
SHAR,Sharpbill,Oxyruncus cristatus,OXYCR
ROFL,Royal Flycatcher,Onychorhynchus coronatus,ONYCO
RDTF,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,TERERY
TBFL,Tawny-breasted Flycatcher,Myiobius villosus,MYIVIL
SRFL,Sulphur-rumped Flycatcher,Myiobius sulphureipygius,MYISUL
BTFL,Black-tailed Flycatcher,Myiobius atricaudus,MYIATD,
GHPI,Gray-headed Piprites,Piprites griseiceps,PIPGRI
SBTS,Stub-tailed Spadebill,Platyrinchus cancrominus,PLACAN
WTRS,White-throated Spadebill,Platyrinchus mystaceus,PLAMYS
GCRS,Golden-crowned Spadebill,Platyrinchus coronatus,PLACOR
OSTF,Olive-striped Flycatcher,Mionectes olivaceus,MIOOLI
OBFL,Ochre-bellied Flycatcher,Mionectes oleagineus,MIOOLE
SECF,Sepia-capped Flycatcher,Leptopogon amaurocephalus,LEPAMA
SLCF,Slaty-capped Flycatcher,Leptopogon superciliaris,LEPSUP
YGTY,Yellow-green Tyrannulet,Phylloscartes flavovirens,PHYFLA
RBTY,Rufous-browed Tyrannulet,Phylloscartes superciliaris,PHYSUP
BOPT,Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni,PSEPEL
BPYT,Black-capped Pygmy-Tyrant,Myiornis atricapillus,MYIATP,
SCPT,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,LOPPIT,
PEPT,Pale-eyed Pygmy-Tyrant,Lophotriccus pilaris,LOPPIR,
NOBE,Northern Bentbill,Oncostoma cinereigulare,ONCCIN
SOBE,Southern Bentbill,Oncostoma olivaceum,ONCOLI
SHTF,Slate-headed Tody-Flycatcher,Poecilotriccus sylvia,POESYL
COTF,Common Tody-Flycatcher,Todirostrum cinereum,TODCIN
BHTF,Black-headed Tody-Flycatcher,Todirostrum nigriceps,TODNIG
BRTW,Brownish Twistwing,Cnipodectes subbrunneus,CNISUB
ERFL,Eye-ringed Flatbill,Rhynchocyclus brevirostris,RHYBRE
OLIF,Olivaceous Flatbill,Rhynchocyclus olivaceus,RHYOLI
YWFL,Yellow-winged Flatbill,Tolmomyias flavotectus,TOLFLC
YOFL,Yellow-olive Flatbill,Tolmomyias sulphurescens,TOLSUL
OLOF,Ochre-lored Flatbill,Tolmomyias flaviventris,TOLFLN
YBTY,Yellow-bellied Tyrannulet,Ornithion semiflavum,ORNSEM
BCTY,Brown-capped Tyrannulet,Ornithion brunneicapillus,ORNBRU
NOBT,Northern Beardless-Tyrannulet,Camptostoma imberbe,CAMIMB
SOBT,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOB
COFL,Cocos Flycatcher,Nesotriccus ridgwayi,NESRI
MCTY,Mouse-colored Tyrannulet,Nesotriccus murinus,NESMU
YETY,Yellow Tyrannulet,Capsiempis flaveola,CAPFL
YCTY,Yellow-crowned Tyrannulet,Tyrannulus elatus,TYREL
FOEL,Forest Elaenia,Myiopagis gaimardii,MYIGA
GRAE,Gray Elaenia,Myiopagis caniceps,MYICA
JAEL,Jamaican Elaenia,Myiopagis cotta,MYICO
GREL,Greenish Elaenia,Myiopagis viridicata,MYIVI
CAEL,Caribbean Elaenia,Elaenia martinica,ELAMA
YBEL,Yellow-bellied Elaenia,Elaenia flavogaster,ELAFL
WCEL,White-crested Elaenia,Elaenia albiceps,ELAAL
SBEL,Small-billed Elaenia,Elaenia parvirostris,ELAPA
LEEL,Lesser Elaenia,Elaenia chiriquensis,ELACH
MOEL,Mountain Elaenia,Elaenia frantzii,ELAFR
GAEL,Greater Antillean Elaenia,Elaenia fallax,ELAFA
TOTY,Torrent Tyrannulet,Serpophaga cinerea,SERCI
WFTY,White-fronted Tyrannulet,Acrochordopus zeledoni,ACRZE
SHTY,Sooty-headed Tyrannulet,Phyllomyias griseiceps,PHYGR
GUTY,Guatemalan Tyrannulet,Zimmerius vilissimus,ZIMVI
MITY,Mistletoe Tyrannulet,Zimmerius parvus,ZIMPA
BRAT,Bright-rumped Attila,Attila spadiceus,ATTSP
CHSI,Choco Sirystes,Sirystes albogriseus,SIRAL
RMOU,Rufous Mourner,Rhytipterna holerythra,RHYHO
YUFL,Yucatan Flycatcher,Myiarchus yucatanensis,MYIYU
SAFL,Sad Flycatcher,Myiarchus barbirostris,MYIBA
DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITU
PAFL,Panama Flycatcher,Myiarchus panamensis,MYIPA
ATFL,Ash-throated Flycatcher,Myiarchus cinerascens,MYICI
NUFL,Nutting's Flycatcher,Myiarchus nuttingi,MYINU
GCFL,Great Crested Flycatcher,Myiarchus crinitus,MYICR
BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus,MYITY
GFLY,Grenada Flycatcher,Myiarchus nugator,MYINUG
RFTF,Rufous-tailed Flycatcher,Myiarchus validus,MYIVAL
LSFL,La Sagra's Flycatcher,Myiarchus sagrae,MYISAG
STOF,Stolid Flycatcher,Myiarchus stolidus,MYISTO
PRFL,Puerto Rican Flycatcher,Myiarchus antillarum,MYIANT
LAFL,Lesser Antillean Flycatcher,Myiarchus oberi,MYIOBE
FLFL,Flammulated Flycatcher,Ramphotrigon flammulatum,RAMFLL,
LEKI,Lesser Kiskadee,Philohydor lictor,PHYLIC
GKIS,Great Kiskadee,Pitangus sulphuratus,PITSUL
CATY,Cattle Tyrant,Machetornis rixosa,MACRIX
BOBF,Boat-billed Flycatcher,Megarynchus pitangua,MEGPIT
RMFL,Rusty-margined Flycatcher,Myiozetetes cayanensis,MYICAY
SOFL,Social Flycatcher,Myiozetetes similis,MYISIM
GCAF,Gray-capped Flycatcher,Myiozetetes granadensis,MYIGRA
WRFL,White-ringed Flycatcher,Conopias albovittatus,CONALB
GBFL,Golden-bellied Flycatcher,Myiodynastes hemichrysus,MYIHEM
STRF,Streaked Flycatcher,Myiodynastes maculatus,MYIMA
SBFL,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,MYILU
PIRF,Piratic Flycatcher,Legatus leucophaius,LEGLE
VAFL,Variegated Flycatcher,Empidonomus varius,EMPVA
CSFL,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,EMPAU
TRKI,Tropical Kingbird,Tyrannus melancholicus,TYRME
COKI,Couch's Kingbird,Tyrannus couchii,TYRCO
CAKI,Cassin's Kingbird,Tyrannus vociferans,TYRVO
TBKI,Thick-billed Kingbird,Tyrannus crassirostris,TYRCR
WEKI,Western Kingbird,Tyrannus verticalis,TYRVE
EAKI,Eastern Kingbird,Tyrannus tyrannus,TYRTY
GRAK,Gray Kingbird,Tyrannus dominicensis,TYRDO
LOKI,Loggerhead Kingbird,Tyrannus caudifasciatus,TYRCA
GIKI,Giant Kingbird,Tyrannus cubensis,TYRCU
STFL,Scissor-tailed Flycatcher,Tyrannus forficatus,TYRFO
FTFL,Fork-tailed Flycatcher,Tyrannus savana,TYRSA
BCOF,Bran-colored Flycatcher,Myiophobus fasciatus,MYIFAS
EUFL,Euler's Flycatcher,Lathrotriccus euleri,LATEUL
TCFL,Tawny-chested Flycatcher,Aphanotriccus capitalis,APHCAP
BLBF,Black-billed Flycatcher,Aphanotriccus audax,APHAUD
BEFL,Belted Flycatcher,Xenotriccus callizonus,XENCAL
PILF,Pileated Flycatcher,Xenotriccus mexicanus,XENMEX
TUFL,Tufted Flycatcher,Mitrephanes phaeocercus,MITPHA
OSFL,Olive-sided Flycatcher,Contopus cooperi,CONCOO
GRPE,Greater Pewee,Contopus pertinax,CONPER
